source_file,date_time_original,model
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_112859_us_typical_2.JPG,2024:10:04 10:06:15,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00746.JPG,2024:10:04 10:10:03,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_112945_us_extra4.JPG,2024:10:04 10:10:03,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/IMG_7323.JPG,2024:10:04 10:15:55,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_103157_ds_typical_1.JPG,2024:10:04 10:15:55,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/IMG_7325.JPG,2024:10:04 10:22:41,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_103159_ds_typical_2.JPG,2024:10:04 10:22:41,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/IMG_7326.JPG,2024:10:04 10:28:07,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_103134_ds_pool.JPG,2024:10:04 10:28:07,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/IMG_7328.JPG,2024:10:04 10:31:13,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_103204_ds_galabayrdlot.JPG,2024:10:04 10:31:13,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/IMG_7329.JPG,2024:10:04 10:37:32,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_103746_ds_gravel.JPG,2024:10:04 10:37:32,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00772.JPG,2024:10:04 10:44:47,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_112928_us_junk.JPG,2024:10:04 10:44:47,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400201/IMG_7341.JPG,2024:10:04 10:56:52,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400201/20241004_111141_ds_gravel.JPG,2024:10:04 10:56:52,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400201/IMG_7342.JPG,2024:10:04 10:58:27,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400201/20241004_111202_ds_typical_2.JPG,2024:10:04 10:58:27,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00777.JPG,2024:10:04 11:01:15,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_112842_us_pool.JPG,2024:10:04 11:01:15,iPhone 12 mini
