source_file,date_time_original,model
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00743.JPG,2024:10:04 10:09:31,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00747.JPG,2024:10:04 10:10:22,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00748.JPG,2024:10:04 10:10:22,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/TC_00751.JPG,2024:10:04 10:17:14,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/20241004_103356_road.JPG,2024:10:04 10:17:14,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/TC_00752.JPG,2024:10:04 10:18:22,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/20241004_103426_outlet.JPG,2024:10:04 10:18:22,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/TC_00753.JPG,2024:10:04 10:18:25,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/20241004_103431_downstream.JPG,2024:10:04 10:18:25,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/TC_00754.JPG,2024:10:04 10:19:28,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/20241004_103400_barrel.JPG,2024:10:04 10:19:28,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/TC_00755.JPG,2024:10:04 10:19:35,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/20241004_103538_na.JPG,2024:10:04 10:19:35,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/TC_00756.JPG,2024:10:04 10:22:31,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/20241004_103531_road_extra.JPG,2024:10:04 10:22:31,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/TC_00759.JPG,2024:10:04 10:23:05,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/20241004_103422_inlet.JPG,2024:10:04 10:23:05,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/TC_00760.JPG,2024:10:04 10:23:27,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/20241004_103459_condition.JPG,2024:10:04 10:23:27,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/TC_00763.JPG,2024:10:04 10:38:11,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/20241004_103818_upstream.JPG,2024:10:04 10:38:11,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/TC_00764.JPG,2024:10:04 10:38:40,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/2024100450/20241004_103854_paper_card.JPG,2024:10:04 10:38:40,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400201/IMG_7330.JPG,2024:10:04 10:41:09,iPhone 13 Pro Max
