collection_type,region_name,creek,site_name,site_e_dna_data_file,new_site,minnow_site,zone,easting,northing,date_raw,year,s_code,geom,date
ground,END,Endako,Endako mainstem,ED26,ED26,NA,10,361870,5995530,45153,2023,2,"c(1057950.8997663, 1009951.2358596)",2023-08-15
ground,END,Endako,Endako mainstem,ED26,ED26,NA,10,361870,5995530,No sample,2023,3,"c(1057950.8997663, 1009951.2358596)",NA
ground,END,Endako,Endako mainstem,ED52,ED52,NA,10,350537,6000109,45113,2023,1,"c(1046463.37198613, 1014058.08819896)",2023-07-06
ground,END,Endako,Endako mainstem,ED52,ED52,NA,10,350537,6000109,No sample,2023,2,"c(1046463.37198613, 1014058.08819896)",NA
ground,END,Endako,Endako mainstem,ED52,ED52,NA,10,350537,6000109,No sample,2023,3,"c(1046463.37198613, 1014058.08819896)",NA
ground,END,Endako,Endako mainstem,ED54,ED54,NA,10,350582,6001067,45113,2023,1,"c(1046467.63749274, 1015019.87687904)",2023-07-06
ground,END,Endako,Endako mainstem,ED54,ED54,NA,10,350582,6001067,No sample,2023,2,"c(1046467.63749274, 1015019.87687904)",NA
ground,END,Endako,Endako mainstem,ED54,ED54,NA,10,350582,6001067,No sample,2023,3,"c(1046467.63749274, 1015019.87687904)",NA
ground,END,Endako,Endako mainstem,ED55,ED55,NA,10,349920,6001731,45113,2023,1,"c(1045779.82960168, 1015657.05513573)",2023-07-06
ground,END,Endako,Endako mainstem,ED55,ED55,NA,10,349920,6001731,No sample,2023,2,"c(1045779.82960168, 1015657.05513573)",NA
ground,END,Endako,Endako mainstem,ED55,ED55,NA,10,349920,6001731,No sample,2023,3,"c(1045779.82960168, 1015657.05513573)",NA
ground,END,Endako,Endako mainstem,ED66,ED66,NA,10,346334,6001388,No sample,2023,1,"c(1042220.94387067, 1015161.03661162)",NA
ground,END,Endako,Endako mainstem,ED66,ED66,NA,10,346334,6001388,45153,2023,2,"c(1042220.94387067, 1015161.03661162)",2023-08-15
ground,END,Endako,Endako mainstem,ED66,ED66,NA,10,346334,6001388,No sample,2023,3,"c(1042220.94387067, 1015161.03661162)",NA
ground,END,Endako,Endako mainstem,ED66.1,ED66.1,NA,10,345657,6001241,No sample,2023,1,"c(1041552.5511039, 1014984.98779352)",NA
ground,END,Endako,Endako mainstem,ED66.1,ED66.1,NA,10,345657,6001241,45153,2023,2,"c(1041552.5511039, 1014984.98779352)",2023-08-15
ground,END,Endako,Endako mainstem,ED66.1,ED66.1,NA,10,345657,6001241,No sample,2023,3,"c(1041552.5511039, 1014984.98779352)",NA
riverboat,NKVF,Engen,Near confluence with Nechako,EG01,EG00,NA,10,414493,5992470,45119,2023,1,"c(1110525.89935438, 1009116.60245658)",2023-07-12
riverboat,NKVF,Engen,Near confluence with Nechako,EG01,EG00,NA,10,414493,5992470,no sample,2023,2,"c(1110525.89935438, 1009116.60245658)",NA
riverboat,NKVF,Engen,Near confluence with Nechako,EG01,EG00,NA,10,414493,5992470,no sample,2023,3,"c(1110525.89935438, 1009116.60245658)",NA
ground,UN,Greer,Kenney Dam Rd,GR01 ,GR01 ,GR01,10,393567,5959923,44033,2020,1,"c(1091047.5886168, 975615.251572283)",2020-07-21
ground,UN,Greer,Kenney Dam Rd,GR01 ,GR01 ,GR01,10,393567,5959923,44071,2020,2,"c(1091047.5886168, 975615.251572283)",2020-08-28
ground,UN,Greer,Kenney Dam Rd,GR01 ,GR01 ,GR01,10,393567,5959923,44110,2020,3,"c(1091047.5886168, 975615.251572283)",2020-10-06
ground,UN,Greer,Kenney Dam Rd,GR01 ,GR01 ,GR01,10,393567,5959923,44138,2020,4,"c(1091047.5886168, 975615.251572283)",2020-11-03
ground,UN,Greer,Kenney Dam Rd,GR01,GR01,GR01,10,393567,5959923,44357,2021,1,"c(1091047.5886168, 975615.251572283)",2021-06-10
ground,UN,Greer,Kenney Dam Rd,GR01,GR01,GR01,10,393567,5959923,NA,2021,2,"c(1091047.5886168, 975615.251572283)",NA
ground,UN,Greer,Kenney Dam Rd,GR01,GR01,GR01,10,393567,5959923,44425,2021,3,"c(1091047.5886168, 975615.251572283)",2021-08-17
ground,UN,Greer,Long walk down,GR02,GR02,GR02,10,395379,5961172,44357,2021,1,"c(1092800.76766141, 976943.484185466)",2021-06-10
ground,UN,Greer,Long walk down,GR02,GR02,GR02,10,395379,5961172,NA,2021,2,"c(1092800.76766141, 976943.484185466)",NA
ground,UN,Greer,Long walk down,GR02,GR02,GR02,10,395379,5961172,44425,2021,3,"c(1092800.76766141, 976943.484185466)",2021-08-17
ground,UN,Greer,Kenney Dam Rd,GR01,GR01,NA,10,393567,5959923,44741,2022,1,"c(1091047.5886168, 975615.251572283)",2022-06-29
ground,UN,Greer,Kenney Dam Rd,GR01,GR01,NA,10,393567,5959923,No sample,2022,2,"c(1091047.5886168, 975615.251572283)",NA
ground,UN,Greer,Kenney Dam Rd,GR01,GR01,NA,10,393567,5959923,44823,2022,3,"c(1091047.5886168, 975615.251572283)",2022-09-19
ground,UN,Greer,Dan Brooks place,GR03,GR03,NA,10,399801,5964678,No sample,2022,1,"c(1097059.82302911, 980643.845444453)",NA
ground,UN,Greer,Dan Brooks place,GR03,GR03,NA,10,399801,5964678,No sample,2022,2,"c(1097059.82302911, 980643.845444453)",NA
ground,UN,Greer,Dan Brooks place,GR03,GR03,NA,10,399801,5964678,44823,2022,3,"c(1097059.82302911, 980643.845444453)",2022-09-19
ground,UN,Greer,Kenney Dam Rd,GR01,GR01,NA,10,393567,5959923,45119,2023,1,"c(1091047.5886168, 975615.251572283)",2023-07-12
ground,UN,Greer,Kenney Dam Rd,GR01,GR01,NA,10,393567,5959923,45148,2023,2,"c(1091047.5886168, 975615.251572283)",2023-08-10
ground,UN,Greer,Kenney Dam Rd,GR01,GR01,NA,10,393567,5959923,45178,2023,3,"c(1091047.5886168, 975615.251572283)",2023-09-09
ground,UN,Greer,Dan Brooks place,GR03,GR03,NA,10,399801,5964678,45119,2023,1,"c(1097059.82302911, 980643.845444453)",2023-07-12
ground,UN,Greer,Dan Brooks place,GR03,GR03,NA,10,399801,5964678,45148,2023,2,"c(1097059.82302911, 980643.845444453)",2023-08-10
ground,UN,Greer,Dan Brooks place,GR03,GR03,NA,10,399801,5964678,45178,2023,3,"c(1097059.82302911, 980643.845444453)",2023-09-09
ground,CK,Gregg,Above Pelican FSF,GG05,GG05,n/a,10,485807,5939702,No sample,2023,1,"c(1183848.976236, 959251.85882887)",NA
ground,CK,Gregg,Above Pelican FSF,GG05,GG05,NA,10,485807,5939702,45155,2023,2,"c(1183848.976236, 959251.85882887)",2023-08-17
ground,CK,Gregg,Above Pelican FSF,GG05,GG05,NA,10,485807,5939702,No sample,2023,3,"c(1183848.976236, 959251.85882887)",NA
riverboat,NKVF,Halsey,Near confluence with Nechako,HY01,HY00,NA,10,411493,5998273,no sample,2023,1,"c(1107289.75016577, 1014804.87095172)",NA
riverboat,NKVF,Halsey,Near confluence with Nechako,HY01,HY00,NA,10,411493,5998273,no sample,2023,2,"c(1107289.75016577, 1014804.87095172)",NA
riverboat,NKVF,Halsey,Near confluence with Nechako,HY01,HY00,NA,10,411493,5998273,45160,2023,3,"c(1107289.75016577, 1014804.87095172)",2023-08-22
riverboat,NKPG,Hullat,Near confluence with Nechako,HL01,HL00,NA,10,453025,5980068,no sample,2023,1,"c(1149458.06653872, 998319.222594287)",NA
riverboat,NKPG,Hullat,Near confluence with Nechako,HL01,HL00,NA,10,453025,5980068,no sample,2023,2,"c(1149458.06653872, 998319.222594287)",NA
riverboat,NKPG,Hullat,Near confluence with Nechako,HL01,HL00,NA,10,453025,5980068,45159,2023,3,"c(1149458.06653872, 998319.222594287)",2023-08-21
riverboat,NKPG,Hutchenson HW01 (301),Near confluence with Nechako,HN01,HN00,n/a,10,477266,5980204,45119,2023,1,"c(1173615.26063278, 999480.946992385)",2023-07-12
riverboat,NKPG,Hutchenson HW01 (301),Near confluence with Nechako,HN01,HN00,NA,10,477266,5980204,no sample,2023,2,"c(1173615.26063278, 999480.946992385)",NA
riverboat,NKPG,Hutchenson HW01 (301),Near confluence with Nechako,HN01,HN00,NA,10,477266,5980204,45159,2023,3,"c(1173615.26063278, 999480.946992385)",2023-08-21
riverboat,NKVF,Kluk,Near confluence with Nechako,KK01,KK00,NA,10,409922,5998515,45119,2023,1,"c(1105713.70733754, 1014980.79069817)",2023-07-12
riverboat,NKVF,Kluk,Near confluence with Nechako,KK01,KK00,NA,10,409922,5998515,no sample,2023,2,"c(1105713.70733754, 1014980.79069817)",NA
riverboat,NKVF,Kluk,Near confluence with Nechako,KK01,KK00,NA,10,409926,5998546,45160,2023,3,"c(1105716.37927337, 1015012.02646995)",2023-08-22
ground,VF,Knight,Jack Thompson / Above Sackner road,KN01 ,KN01,KN01 ,10,438125,5986315,44034,2020,1,"c(1134341.36748321, 1003949.23247455)",2020-07-22
ground,VF,Knight,Jack Thompson / Above Sackner road,KN01 ,KN01,KN01 ,10,438125,5986315,44069,2020,2,"c(1134341.36748321, 1003949.23247455)",2020-08-26
ground,VF,Knight,Jack Thompson / Above Sackner road,KN01 ,KN01,KN01 ,10,438125,5986315,44107,2020,3,"c(1134341.36748321, 1003949.23247455)",2020-10-03
ground,VF,Knight,Jack Thompson / Above Sackner road,KN01 ,KN01,KN01 ,10,438125,5986315,44135,2020,4,"c(1134341.36748321, 1003949.23247455)",2020-10-31
ground,VF,Knight,Jack Thompson / Above Sackner road,KN01 ,KN01,KN01 ,10,438125,5986315,44376,2021,1,"c(1134341.36748321, 1003949.23247455)",2021-06-29
ground,VF,Knight,Jack Thompson / Above Sackner road,KN01 ,KN01,KN01 ,10,438125,5986315,44398,2021,2,"c(1134341.36748321, 1003949.23247455)",2021-07-21
ground,VF,Knight,Jack Thompson / Above Sackner road,KN01 ,KN01,KN01 ,10,438125,5986315,44432,2021,3,"c(1134341.36748321, 1003949.23247455)",2021-08-24
ground,VF,Knight,Jack Thompson / Above Sackner road,KN01,KN01,KN01,10,438118,5986317,44756,2022,1,"c(1134334.30545237, 1003950.94047527)",2022-07-14
ground,VF,Knight,Jack Thompson / Above Sackner road,KN01,KN01,NA,10,438118,5986317,No sample,2022,2,"c(1134334.30545237, 1003950.94047527)",NA
ground,VF,Knight,Jack Thompson / Above Sackner road,KN01,KN01,NA,10,438118,5986317,No sample,2022,3,"c(1134334.30545237, 1003950.94047527)",NA
ground,VF,Knight,Jack Thompson / Above Sackner road,KN01,KN01,NA,10,438118,5986317,45111,2023,1,"c(1134334.30545237, 1003950.94047527)",2023-07-04
